geo_id,county_name,population,avg_household_size,level_up_access_pop_percent,sex_total_men,sex_total_women,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone,occupation_population_16_and_over_total,occupation_management_business_science_and_arts,occupation_service,occupation_sales_and_office,occupation_natural_resources_construction_and_maintenance,occupation_production_transporation_and_material_moving,hh_with_computer_and_internet_total,hh_with_computer,hh_with_bb_internet_subscription,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasing,industry_professional_scientific_management_administrative_and_waste_management_services,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_services,industry_other_services_except_public_administration,industry_public_administration,hh_with_income_total,hh_with_income_less_than_10000,hh_with_income_10000-14999,hh_with_income_15000-24999,hh_with_income_25000-34999,hh_with_income_35000-49999,hh_with_income50000-74999,hh_with_income_75000-99999,hh_with_income_100000-149999,hh_with_income_150000-199999,hh_with_income_200000_and_greater,hh_median_income,hh_mean_income,family_structure_hh_total,family_structure_hh_with_one_or_more_under_18,family_structure_hh_with_none_under_18,employment_16_and_over_in_labor_force,employment_employed,employment_unemployed,employment_not_in_labor_force,employment_%_unemployment_rate,%_eduction_population_25_and_over_less_than_9th_grade,%_eduction_population_25_and_over_9th-12th_no_diploma,%_eduction_population_25_and_over_high_school_graduate,%_eduction_population_25_and_over_some_college_no_degree,%_eduction_population_25_and_over_associates_degree,%_eduction_population_25_and_over_bachelors_degree,%_eduction_population_25_and_over_graduate_or_professional_degree,disability_population_under_18,disability_population_18-64,disability_population_65_and_over,disability_under_18_with_disability,disability_18-64_with_disability,disability_64_and_over_with_disability,citizenship_native_born,citizenship_foreign_born,age_under_5,age_5-9,age_10-14,age_15-19,age_20-24,age_25-34,age_35-44,age_45-54,age_55-59,age_60-64,age_65-74,age_75-84,age_85_and_over
0500000US06067,Sacramento County,1510023,2.77,0.9603415860530626,737742,772281,347025,1162998,5469,231740,144003,16335,6086,76865,73779,3086,682500,686019,267564,132177,159200,53759,73319,536029,499475,458851,5918,43737,38148,17066,75105,37705,12415,48305,81011,153425,65531,34990,72663,536029,29236,27434,45253,46057,63279,93941,69723,85746,40791,34569,63902,85289,536029,183652,352377,740570,686019,54551,445040,7.4,6.5,6.1,22.3,24.9,9.7,20.1,10.4,362128,934190,199143,13149,93440,74859,1195438,314585,99356,101293,102000,94932,100159,234363,197732,195044,95111,87826,117908,57619,26680
0500000US06055,Napa County,140530,2.78,0.9157712858636312,70082,70448,47687,92843,326,11210,2764,264,516,3604,3384,220,74159,70888,25676,14669,14817,8097,7629,49032,45419,42930,4091,4332,9250,1923,7040,2136,823,3569,6768,15037,9806,3365,2748,49032,1582,1465,3053,3219,5131,7700,6142,9278,4977,6485,84753,116922,49032,15866,33166,74616,70888,3728,39796,5.0,9.7,5.2,18.0,23.0,9.2,23.0,11.9,29847,84375,24481,1117,7441,7755,109061,31469,7318,7449,9619,9036,8888,17269,17769,18925,9560,9337,14353,7545,3462
0500000US06053,Monterey County,433212,3.3,0.8949433374571777,220967,212245,252588,180624,1046,23647,10606,1963,530,11594,11458,136,131238,185025,52799,36880,34992,38020,22334,126052,110447,101887,33257,11143,9615,5058,17409,6436,2410,6551,16854,36635,21934,8114,9609,126052,4820,4179,9561,10842,15983,24256,17300,19706,9041,10364,66676,93636,126052,49770,76282,195500,185025,10475,130379,5.4,19.5,9.2,20.4,18.2,8.1,14.7,9.7,113985,248590,54331,3209,16513,17454,303311,129901,32318,31786,32230,30473,31877,63216,56042,51701,25456,22598,32072,15291,8152
0500000US06091,Sierra County,2930,2.34,0.02029950083194676,1542,1388,324,2606,25,0,6,0,0,8,8,0,2567,1251,346,235,201,282,187,1241,979,909,46,237,39,0,61,131,2,0,105,261,104,31,234,1241,45,127,145,118,196,139,135,263,48,25,48125,67464,1241,159,1082,1311,1251,60,1229,4.6,0.4,6.3,26.6,34.6,13.4,8.9,9.8,441,1623,839,0,202,182,2865,65,112,111,153,141,83,187,380,254,482,174,516,281,56
0500000US06073,San Diego County,3302833,2.87,0.9780773620343106,1661931,1640902,1106925,2195908,12282,382336,155536,12811,6366,111197,108705,2492,1515380,1564930,652475,304726,340038,119478,148213,1118980,1051246,993171,13471,91902,144583,37263,163799,63842,34501,97145,236691,332860,186676,84047,78150,1118980,51029,39441,78317,84271,122572,184805,144979,197632,98349,117585,74855,101302,1118980,374289,744691,1671892,1564930,106962,911554,6.4,6.7,6.1,18.4,22.4,8.2,23.5,14.7,724787,2047192,432491,21691,147849,145357,2528468,774365,211969,198148,197726,209496,262118,541385,436855,420221,201666,183654,251516,127904,60175
0500000US06113,Yolo County,214977,2.81,0.8682993197278912,104375,110602,67809,147168,533,29360,5215,919,258,9609,9276,333,101274,97374,43675,18245,16600,8470,10384,73510,68507,63619,3926,4630,5836,2231,9731,4672,1158,4229,10158,28377,10130,4301,7995,73510,5640,3773,6430,5442,7435,12203,8701,11053,5690,7143,65923,92571,73510,24120,49390,104096,97374,6722,70002,6.5,7.2,6.5,18.5,19.5,6.8,21.1,20.4,45830,142813,24963,1003,10125,8819,165855,49122,12467,12618,13052,20389,30396,29455,24981,23778,11704,10696,14761,7050,3630
0500000US06023,Humboldt County,135768,2.43,0.9472107880021836,67666,68102,15360,120408,5919,4049,1342,369,258,7166,7057,109,101305,60970,20699,14302,13851,6020,6098,54267,48738,44023,2946,4143,2538,1433,8316,2318,860,2585,5342,15642,7718,3072,4057,54267,3804,4175,6889,6159,8242,9925,5712,5664,1888,1809,45528,63753,54267,13695,40572,66297,60970,5327,45852,8.0,2.8,6.8,23.5,27.5,9.5,19.6,10.2,26198,86194,22418,1324,12404,8213,128382,7386,7364,7787,6803,9105,12763,18345,17028,15030,9122,9774,14208,5791,2648
0500000US06003,Alpine County,1146,3.71,0.11691762621789195,612,534,105,1041,294,8,9,0,0,52,52,0,678,366,114,79,76,59,38,299,272,254,14,21,0,0,61,41,15,5,34,58,59,18,40,299,11,20,22,32,37,51,27,51,26,22,64688,92738,299,56,243,445,366,79,489,17.8,3.2,7.9,28.7,26.1,4.1,19.0,11.0,239,614,293,16,125,96,1119,27,39,58,79,114,72,91,140,83,68,109,192,66,35
0500000US06045,Mendocino County,87422,2.5,0.8398944080047033,43439,43983,21679,65743,2839,1667,511,170,180,3062,3037,25,57314,37712,12135,8369,7867,5580,3761,34090,29268,26465,2675,3033,2730,854,4672,1080,619,1438,3265,8376,4322,2386,2262,34090,2289,2555,3968,3889,4577,6425,3957,3994,1280,1156,49233,67340,34090,9576,24514,41549,37712,3837,29429,9.2,6.0,7.1,25.8,28.5,7.9,16.3,8.3,18831,50158,17586,928,7408,6230,76100,11322,5143,5838,4704,5160,4778,9969,10119,10569,6405,6892,11538,4309,1998
0500000US06087,Santa Cruz County,273765,2.73,0.9908972120653116,135727,138038,91676,182089,360,12116,2359,168,554,8992,8851,141,157540,134904,55912,25456,27338,14312,11886,95756,87694,82710,6851,8414,11765,3574,14194,4055,3272,5777,16494,33829,15336,6843,4500,95756,4893,4046,7091,6734,9176,14353,11540,15655,8902,13366,78041,109141,95756,28141,67615,143931,134904,9027,82182,6.3,9.1,4.5,15.8,21.7,8.9,23.7,16.4,53695,178115,40487,2461,16189,11664,224800,48965,14535,14511,15516,22731,27607,33557,31870,34702,19532,18203,25867,10581,4553
