geo_id,county_name,population,avg_household_size,level_up_access_pop_percent,sex_total_men,sex_total_women,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone,occupation_population_16_and_over_total,occupation_management_business_science_and_arts,occupation_service,occupation_sales_and_office,occupation_natural_resources_construction_and_maintenance,occupation_production_transporation_and_material_moving,hh_with_computer_and_internet_total,hh_with_computer,hh_with_bb_internet_subscription,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasing,industry_professional_scientific_management_administrative_and_waste_management_services,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_services,industry_other_services_except_public_administration,industry_public_administration,hh_with_income_total,hh_with_income_less_than_10000,hh_with_income_10000-14999,hh_with_income_15000-24999,hh_with_income_25000-34999,hh_with_income_35000-49999,hh_with_income50000-74999,hh_with_income_75000-99999,hh_with_income_100000-149999,hh_with_income_150000-199999,hh_with_income_200000_and_greater,hh_median_income,hh_mean_income,family_structure_hh_total,family_structure_hh_with_one_or_more_under_18,family_structure_hh_with_none_under_18,employment_16_and_over_in_labor_force,employment_employed,employment_unemployed,employment_not_in_labor_force,employment_%_unemployment_rate,%_eduction_population_25_and_over_less_than_9th_grade,%_eduction_population_25_and_over_9th-12th_no_diploma,%_eduction_population_25_and_over_high_school_graduate,%_eduction_population_25_and_over_some_college_no_degree,%_eduction_population_25_and_over_associates_degree,%_eduction_population_25_and_over_bachelors_degree,%_eduction_population_25_and_over_graduate_or_professional_degree,disability_population_under_18,disability_population_18-64,disability_population_65_and_over,disability_under_18_with_disability,disability_18-64_with_disability,disability_64_and_over_with_disability,citizenship_native_born,citizenship_foreign_born,age_under_5,age_5-9,age_10-14,age_15-19,age_20-24,age_25-34,age_35-44,age_45-54,age_55-59,age_60-64,age_65-74,age_75-84,age_85_and_over
0500000US06101,Sutter County,95872,2.93,0.9082612327396852,47789,48083,29354,66518,676,14532,1793,367,211,4170,3960,210,44769,38664,11579,6994,7993,6475,5623,32360,28723,26537,4230,2868,2877,1272,4771,2157,346,1490,2931,8413,3431,1537,2341,32360,1593,1561,3284,3286,4552,6202,3959,4862,1721,1340,56955,75716,32360,13032,19328,42808,38664,4144,30333,9.7,12.7,9.3,23.9,25.4,10.9,11.8,5.9,25104,55652,13876,1058,6330,5644,74548,21324,6614,7219,7031,6583,6204,13284,11641,11722,5701,5645,7826,4618,1784
0500000US06081,San Mateo County,765935,2.89,0.997574921109927,377851,388084,189002,576933,1151,212474,16838,10272,2476,30675,29042,1633,303047,409911,198720,69574,83257,24481,33879,261969,247758,234946,2018,21056,31935,8954,37624,22964,18578,31581,77705,82498,40523,21111,13364,261969,7627,6048,11667,12425,18246,30288,28976,47304,32301,67087,113776,162639,261969,86444,175525,427467,409911,17556,194669,4.1,6.4,4.5,15.0,17.2,7.0,28.8,21.2,160992,485205,115904,3904,25893,35252,499203,266732,44775,46334,43978,40654,42295,111996,110088,108983,51530,47435,66210,33971,17686
0500000US06109,Tuolumne County,53932,2.25,0.9894636366973824,28102,25830,6527,47405,747,732,880,125,40,1517,1489,28,43364,20930,6893,5782,4098,2143,2014,22427,19920,17533,611,1425,1002,199,1948,1172,364,973,1944,4820,3291,1392,1789,22427,1297,1450,2062,2346,2834,4045,3114,3038,886,1355,56493,80361,22427,5043,17384,22446,20930,1516,23582,6.8,1.9,7.7,28.4,31.2,10.8,12.9,7.2,9004,28790,13118,444,4967,4287,51503,2429,2389,2833,2220,2641,2726,6669,5563,6359,4214,4967,7859,3739,1753
0500000US06077,San Joaquin County,732212,3.16,0.9138716932015294,364612,367600,301256,430956,1536,110164,49926,3959,1069,26415,25080,1335,237887,305509,84675,56052,66378,42113,56291,226727,201039,181235,14403,24441,30510,10622,36418,25253,4113,14396,29389,61999,24411,14451,15103,226727,11947,11352,21842,20742,28173,40017,28778,35403,15258,13215,61145,81297,226727,95158,131569,334498,305509,28989,218838,8.7,11.2,9.9,28.2,22.9,9.3,12.6,5.9,201113,435388,86568,7182,47851,34364,561324,170888,52723,57384,56988,55240,51640,101222,94351,92011,42250,38942,52720,25773,10968
0500000US06005,Amador County,37829,2.42,0.32545093205202386,20302,17527,5132,32697,270,466,749,69,10,1370,1370,0,29763,13289,4355,3056,3171,1470,1237,14090,12577,11467,592,923,598,139,1576,725,268,443,1315,2631,1986,688,1405,14090,593,550,1479,1576,1713,2760,1948,2155,591,725,61198,78014,14090,3413,10677,14544,13289,1255,18101,8.6,2.5,7.2,28.7,29.6,11.7,13.2,7.1,5682,18922,9570,259,2564,3485,35687,2142,1534,1540,1727,1978,1530,3744,4329,5105,3003,3387,6144,2555,1253
0500000US06047,Merced County,269075,3.31,0.8031201719984008,135816,133259,158494,110581,840,19487,8038,556,501,5151,4987,164,76008,102638,24599,19459,19554,19736,19290,79606,70974,63434,12792,6875,11833,3185,11452,5676,1038,2909,6840,23163,7756,4812,4307,79606,5230,5097,8627,8577,12196,14954,9425,8924,3506,3070,50129,69764,79606,36189,43417,117550,102638,14912,80376,12.7,18.5,12.1,25.8,22.4,7.1,9.1,4.8,79930,157414,28981,4136,18780,13290,199835,69240,21254,22886,22499,23338,21064,38509,32974,30749,14281,12201,16993,8987,3340
0500000US06049,Modoc County,8938,2.31,0.16016287750254496,4613,4325,1292,7646,291,130,149,6,4,104,96,8,6962,3125,1180,639,550,502,254,3660,2779,2539,637,98,18,94,242,115,16,76,171,786,340,261,271,3660,288,166,502,574,481,734,424,382,81,28,45149,54126,3660,830,2830,3399,3125,274,4030,8.1,7.0,7.4,32.3,26.1,11.4,10.4,5.5,1701,4748,2265,20,631,930,8293,645,402,556,464,491,252,1115,873,1050,691,751,1351,690,252
0500000US06027,Inyo County,18085,2.16,0.8344143245190975,9084,9001,3927,14158,1944,289,160,35,28,313,312,1,11389,8090,2650,1671,1830,1160,779,8083,7256,6293,406,753,209,75,928,621,110,256,362,2069,1230,411,660,8083,240,574,794,1064,1184,1667,910,1085,300,265,52874,68448,8083,1600,6483,8537,8090,447,6328,5.2,4.2,6.9,29.3,25.6,7.9,16.1,10.0,3635,10007,4039,100,894,1495,16427,1658,1011,1108,888,1055,779,2047,2018,2120,1404,1507,2321,1247,580
0500000US06099,Stanislaus County,539301,3.09,0.9324410707151418,266844,272457,245973,293328,2600,28599,14338,3711,908,13376,12769,607,229796,222532,61960,39292,47315,32421,41544,172682,155165,142962,12078,17435,27242,8710,28625,14004,2600,8333,19682,47408,18124,10394,7897,172682,8860,8979,16576,17386,23456,32240,22512,25877,9042,7754,57387,75761,172682,70808,101874,248662,222532,26130,160004,10.5,11.6,10.1,28.6,25.1,7.7,11.5,5.4,146661,323312,66202,5811,37151,27971,428370,110931,39410,41234,41604,39283,37852,77347,67919,66531,33381,26970,39540,19925,8305
0500000US06103,Tehama County,63373,2.6,0.4888451846844079,31504,31869,15623,47750,1013,964,420,17,24,1773,1734,39,43539,24265,6065,5561,5231,3630,3778,24025,19945,17226,1635,1903,2153,461,3316,1310,374,1008,1999,5089,2661,1134,1222,24025,1658,1774,3749,2885,3363,4385,2530,2258,776,647,42899,58939,24025,7572,16453,26749,24265,2484,23226,9.3,7.1,8.5,30.7,30.5,7.7,11.1,4.4,15158,35814,11866,744,6836,5042,57814,5559,3867,4283,4463,3872,3554,7538,7003,8006,4489,4333,7013,3481,1471
0500000US06069,San Benito County,59416,3.33,0.8875513518677749,29626,29790,35248,24168,193,1705,434,79,84,893,840,53,20780,28831,8302,5173,6189,4804,4363,17740,16658,15757,1962,3252,3451,950,3488,1351,411,1052,2396,5712,2378,1140,1288,17740,295,594,938,1125,1939,3198,2420,3849,1766,1616,81977,101057,17740,7626,10114,31125,28831,2294,14516,7.4,13.9,6.2,24.8,25.7,9.7,13.6,6.1,15591,36578,7090,395,2814,2353,47363,12053,3902,4187,4678,4469,4104,7890,7645,8149,3850,3348,4278,2031,885
0500000US06017,El Dorado County,186661,2.67,0.7473462593535607,93040,93621,23631,163030,939,8237,1432,396,184,5852,5721,131,145990,83049,34435,15821,18931,6845,7017,69172,64430,59285,1070,6412,5754,1404,9314,3444,1831,6396,10719,16652,10281,4056,5716,69172,2593,2436,5100,4889,6834,10639,8942,12881,6287,8571,80582,104895,69172,19444,49728,88529,83049,5480,64709,6.2,2.3,4.6,21.2,27.1,11.0,21.7,12.0,37953,110813,36572,1355,11710,11622,168767,17894,8672,10025,11954,11579,9715,18743,20562,26817,16226,15617,22676,10245,3830
0500000US06075,San Francisco County,870044,2.36,0.999948953489823,443970,426074,132651,737393,1363,294846,43619,2694,4163,37038,35528,1510,353670,515382,290413,83206,94034,16826,30903,359673,330605,309382,1106,16535,26424,8975,47293,21187,30937,43878,124553,94401,60331,23257,16505,359673,18633,18570,22449,18507,23903,37920,33637,58516,40785,86753,104552,149265,359673,67394,292279,540702,515382,25320,223550,4.7,7.1,4.5,12.3,13.8,5.3,34.3,22.8,116674,620028,129125,2747,40719,45846,570385,299659,39519,31072,29588,30492,49822,202928,137296,115998,51067,50824,71250,38978,21210
0500000US06107,Tulare County,460477,3.34,0.8047997288676578,230255,230222,295149,165328,2769,14800,5870,584,877,6811,6549,262,133617,177236,45513,31838,34188,38802,26895,136106,114238,100129,31682,8856,14599,6135,20057,7737,1598,5747,11014,36891,14741,8304,9875,136106,9449,9406,17255,15152,19769,24041,15118,15304,5448,5164,47518,66651,136106,62109,73997,195557,177236,18321,136749,9.4,18.9,11.3,26.0,21.9,7.6,9.6,4.8,143313,264181,49030,5792,28146,21290,358413,102064,38504,40849,40772,37292,33987,64943,57243,51482,23979,21035,29507,14406,6478
0500000US06057,Nevada County,99092,2.39,0.7074632850483685,48889,50203,9281,89811,570,989,601,154,130,2897,2812,85,84470,43368,17889,8565,9699,3679,3536,40904,37429,34503,618,3574,2682,805,4821,1823,651,2512,6047,9932,4591,2776,2536,40904,2085,1934,3463,3675,5387,6765,5233,6652,2738,2972,63240,86798,40904,9289,31615,46339,43368,2971,37730,6.4,2.0,3.8,18.4,28.7,10.5,23.6,13.0,17132,56218,24753,694,6560,7360,93595,5497,4221,4656,5063,5249,4126,9903,10823,11994,8407,9473,15491,6588,3098
0500000US06039,Madera County,155013,3.28,0.7528142022666167,74683,80330,88806,66207,1504,3047,4835,136,443,2711,2500,211,53531,57799,13596,10158,12550,13205,8290,44759,39082,34355,9217,4138,5432,1335,5883,2365,759,2246,3748,11901,5175,2592,3008,44759,2850,2516,4282,4498,7099,8371,5195,6527,1832,1589,52884,69614,44759,18911,25848,63042,57799,5243,54108,8.3,16.9,11.2,25.0,24.5,7.9,10.0,4.5,42756,83955,20326,1550,9744,8114,123049,31964,11807,11847,12193,11303,10848,21466,19585,18065,8898,8204,12760,5764,2273
0500000US06105,Trinity County,12862,2.17,0.2341066341066341,6582,6280,930,11932,574,179,87,158,27,300,299,1,10607,4758,1379,1321,850,595,613,5796,4750,3879,378,348,256,22,420,238,71,159,310,1058,705,257,536,5796,577,504,867,769,803,955,556,493,164,108,38497,54856,5796,1198,4598,5204,4758,446,5811,8.6,1.5,7.9,33.4,29.8,7.8,14.9,4.8,2168,7157,3366,46,1190,1477,12284,578,571,646,523,752,404,1057,1418,1661,1076,1365,2067,1055,267
0500000US06071,San Bernardino County,2135413,3.3,0.9483751232183508,1062472,1072941,1127813,1007600,7409,145652,168864,6037,4085,52291,49414,2877,623262,892435,259943,167117,206397,91515,167463,630633,574948,514950,5986,67634,78804,29625,115302,85911,11483,42392,83437,197018,81531,45851,47461,630633,34198,31835,59404,58750,79401,117004,83245,95961,40547,30288,60164,77575,630633,268443,362190,978082,892435,85647,639400,8.8,9.1,11.4,26.5,24.5,8.3,13.2,7.1,572268,1284403,227837,19549,118274,90014,1687217,448196,154616,159351,160376,159896,169422,319211,273918,268397,128278,108605,141854,66406,25083
0500000US06061,Placer County,380077,2.67,0.8720890531326257,185511,194566,52498,327579,1244,27196,5868,576,403,13912,13528,384,278380,173493,77837,28898,42102,12355,12301,140661,132400,124285,1323,12269,10649,4333,20225,7302,3883,14804,21699,39859,16001,8554,12592,140661,5616,4796,8765,9627,12591,21851,18041,27747,15169,16458,84357,109020,140661,44991,95670,182498,173493,9005,121102,4.9,2.1,3.3,18.2,26.6,11.3,25.9,12.7,85681,221538,70139,2950,16420,20960,338427,41650,20325,25051,24540,24399,20279,41834,48667,52916,26116,24851,40466,21867,8766
0500000US06095,Solano County,438530,2.87,0.9151775641641404,217931,220599,114406,324124,1258,65994,59500,3928,1288,23286,22630,656,168870,202713,67085,40951,45384,21989,27304,149067,138661,132179,3014,16752,17279,5077,23107,12743,3636,11149,19706,46786,19382,9695,14387,149067,6100,5323,9438,10274,15969,25215,21756,28449,14073,12470,77609,96029,149067,52536,96531,218059,202713,15346,129333,7.0,5.7,6.3,23.3,28.3,10.1,18.3,7.9,98712,264604,63011,3784,26890,22131,350738,87792,26706,27649,27594,26976,29952,63551,54436,58247,29377,29652,39080,17772,7538
0500000US06011,Colusa County,21464,2.99,0.3983849259757739,11124,10340,12655,8809,159,324,277,53,30,294,294,0,7672,9663,2275,1722,1602,2544,1520,7113,5976,5499,2648,462,968,236,914,522,27,337,415,1194,1327,195,418,7113,252,363,890,735,984,1346,1073,781,398,291,56704,82313,7113,2977,4136,10183,9663,520,6030,5.1,19.7,11.0,23.7,20.6,9.7,11.5,3.9,5883,12530,2884,194,1407,1028,15567,5897,1589,1708,1639,1538,1356,2878,2523,2641,1494,1132,1768,860,338
0500000US06031,Kings County,150075,3.16,0.7684938762432242,82674,67401,81154,68921,1227,5737,8784,285,204,3626,3449,177,49058,53217,13114,11534,10374,10546,7649,42735,37560,32974,7930,1933,3988,1220,5126,2322,541,1576,3365,11330,4487,2139,7260,42735,2329,2404,4089,4685,6570,7666,5962,5610,1943,1477,53865,69985,42735,20028,22707,58072,53217,4855,51282,8.4,12.8,13.5,25.5,26.0,8.7,9.5,4.0,40908,77997,14248,1687,8694,6187,122936,27139,11639,11665,11255,10441,12754,25059,20610,18001,7714,6370,8414,4632,1521
0500000US06019,Fresno County,978130,3.16,0.852490356262774,487936,490194,515907,462223,4458,97991,44474,1104,1864,20877,19919,958,291455,400175,118785,78632,84756,60550,57452,304624,267065,237426,39703,22833,29221,14087,41828,19879,5377,18856,33818,95614,34762,19316,24881,304624,21380,19989,35375,33605,38742,53091,35192,38001,15704,13545,51261,71663,304624,125525,179099,441451,400175,41276,284911,9.4,14.2,10.5,22.9,23.2,8.5,13.8,6.9,279641,575305,111962,11421,67425,47293,769312,208818,78636,78627,78151,71970,74241,148512,120605,111792,53835,47323,66238,32360,15840
0500000US06111,Ventura County,848112,3.08,0.9845142942248636,419588,428524,360017,488095,2299,60242,13677,1406,1016,21154,20614,540,388301,412228,156980,70758,91629,48040,44821,271226,249158,235305,23148,23744,41599,12286,43604,13782,10054,31537,49253,80852,40004,21816,20549,271226,8653,7711,16744,17921,26844,42811,38297,51509,27073,33663,84017,110792,271226,95920,175306,438081,412228,25853,230724,5.9,9.6,6.0,18.9,23.1,9.3,20.8,12.3,199247,520261,121981,7771,41686,42647,661332,186780,51709,53476,59175,57639,59428,112151,105619,116202,59504,49774,71153,35016,17266
