geo_id,county_name,age_under_5,age_5-9,age_10-14,age_15-19,age_20-24,age_25-34,age_35-44,age_45-54,age_55-59,age_60-64,age_65-74,age_75-84,age_85_and_over,state_id,county_id
0500000US06075,"San Francisco County, California",39519,31072,29588,30492,49822,202928,137296,115998,51067,50824,71250,38978,21210,06,075
0500000US06107,"Tulare County, California",38504,40849,40772,37292,33987,64943,57243,51482,23979,21035,29507,14406,6478,06,107
0500000US06057,"Nevada County, California",4221,4656,5063,5249,4126,9903,10823,11994,8407,9473,15491,6588,3098,06,057
0500000US06039,"Madera County, California",11807,11847,12193,11303,10848,21466,19585,18065,8898,8204,12760,5764,2273,06,039
0500000US06105,"Trinity County, California",571,646,523,752,404,1057,1418,1661,1076,1365,2067,1055,267,06,105
0500000US06071,"San Bernardino County, California",154616,159351,160376,159896,169422,319211,273918,268397,128278,108605,141854,66406,25083,06,071
0500000US06061,"Placer County, California",20325,25051,24540,24399,20279,41834,48667,52916,26116,24851,40466,21867,8766,06,061
0500000US06095,"Solano County, California",26706,27649,27594,26976,29952,63551,54436,58247,29377,29652,39080,17772,7538,06,095
0500000US06011,"Colusa County, California",1589,1708,1639,1538,1356,2878,2523,2641,1494,1132,1768,860,338,06,011
0500000US06031,"Kings County, California",11639,11665,11255,10441,12754,25059,20610,18001,7714,6370,8414,4632,1521,06,031
0500000US06019,"Fresno County, California",78636,78627,78151,71970,74241,148512,120605,111792,53835,47323,66238,32360,15840,06,019
0500000US06111,"Ventura County, California",51709,53476,59175,57639,59428,112151,105619,116202,59504,49774,71153,35016,17266,06,111
