geo_id,state_id,county_id,county_name,race_total_population,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone
0500000US56003,56,003,Big Horn County,11901,1065,10836,137,44,53,18,21,103,79,24,10460
0500000US56011,56,011,Crook County,7410,87,7323,137,25,12,0,0,152,152,0,6997
0500000US56029,56,029,Park County,29121,1582,27539,165,167,45,3,47,611,609,2,26501
0500000US56001,56,001,Albany County,38102,3600,34502,310,1130,397,10,36,1036,1036,0,31583
0500000US56007,56,007,Carbon County,15477,2780,12697,226,135,165,9,0,151,151,0,12011
0500000US56015,56,015,Goshen County,13438,1427,12011,133,72,10,0,0,241,234,7,11555
0500000US56041,56,041,Uinta County,20609,1884,18725,150,22,20,0,0,491,491,0,18042
0500000US56043,56,043,Washakie County,8129,1153,6976,29,0,1,0,13,267,246,21,6666
0500000US56017,56,017,Hot Springs County,4680,147,4533,113,0,0,0,0,32,32,0,4388
0500000US56013,56,013,Fremont County,40076,2753,37323,8010,39,235,8,0,1017,1017,0,28014
0500000US56035,56,035,Sublette County,9951,731,9220,43,12,0,0,0,282,282,0,8883
0500000US56045,56,045,Weston County,7100,107,6993,37,310,36,0,0,144,144,0,6466
0500000US01099,01,099,Monroe County,21512,302,21210,346,120,8774,0,0,281,281,0,11689
0500000US01079,01,079,Lawrence County,33171,707,32464,1878,44,3615,24,0,1513,1474,39,25390
0500000US01081,01,081,Lee County,159287,5865,153422,226,6475,36389,0,295,2642,2571,71,107395
0500000US01107,01,107,Pickens County,20298,932,19366,25,13,8148,8,8,239,239,0,10925
0500000US01119,01,119,Sumter County,12985,13,12972,8,338,9345,0,51,29,29,0,3201
0500000US01023,01,023,Choctaw County,13075,73,13002,9,13,5570,0,5,35,35,0,7370
0500000US01091,01,091,Marengo County,19538,115,19423,51,0,10518,0,7,56,56,0,8791
0500000US01113,01,113,Russell County,58213,3120,55093,160,451,24787,72,240,2029,2018,11,27354
0500000US01039,01,039,Covington County,37351,604,36747,58,144,4790,13,0,596,596,0,31146
0500000US01041,01,041,Crenshaw County,13865,275,13590,106,188,3147,0,0,280,280,0,9869
0500000US01077,01,077,Lauderdale County,92585,2412,90173,417,612,9183,61,109,1290,1280,10,78501
0500000US01085,01,085,Lowndes County,10236,70,10166,13,0,7586,0,0,62,62,0,2505
0500000US01083,01,083,Limestone County,93052,5479,87573,821,1163,12405,0,1,1629,1621,8,71554
0500000US01115,01,115,St. Clair County,87306,2089,85217,285,700,8212,8,0,903,887,16,75109
0500000US01133,01,133,Winston County,23875,734,23141,93,31,90,9,0,490,486,4,22428
0500000US01043,01,043,Cullman County,82313,3543,78770,348,334,954,0,9,1299,1228,71,75826
0500000US01051,01,051,Elmore County,81212,2347,78865,186,392,17148,0,197,1471,1450,21,59471
0500000US01071,01,071,Jackson County,52094,1505,50589,545,215,1799,77,50,1366,1361,5,46537
0500000US01121,01,121,Talladega County,80565,1818,78747,301,450,25992,28,70,1251,1225,26,50655
0500000US01129,01,129,Washington County,16643,182,16461,1218,62,4086,0,0,260,260,0,10835
0500000US01031,01,031,Coffee County,51288,3549,47739,581,666,8746,0,41,1482,1482,0,36223
0500000US01103,01,103,Morgan County,119122,9691,109431,713,775,15141,48,89,2168,2142,26,90497
0500000US01021,01,021,Chilton County,43930,3416,40514,39,190,4112,0,80,888,876,12,35205
