type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more,Total Pop,id,County Name
county,6033,acfosw,R,T,100,163,212,0,0,375,06033,Lake County
county,6033,acfosw,U,N,100,702,41547,0,0,42249,06033,Lake County
county,6033,acfosw,U,T,100,0,181,0,0,181,06033,Lake County
county,6035,acfosw,R,N,100,13806,5986,267,0,20059,06035,Lassen County
county,6035,acfosw,R,T,100,237,153,0,0,390,06035,Lassen County
county,6035,acfosw,U,N,100,682,8705,578,0,9965,06035,Lassen County
county,6035,acfosw,U,T,100,26,133,0,0,159,06035,Lassen County
county,6037,acfosw,R,N,100,38067,38950,12379,1715,91111,06037,Los Angeles County
county,6037,acfosw,U,N,100,17646,2619258,5749281,1561811,9947996,06037,Los Angeles County
county,6039,acfosw,R,N,100,36506,17398,919,0,54823,06039,Madera County
county,6039,acfosw,R,T,100,142,0,0,0,142,06039,Madera County
county,6039,acfosw,U,N,100,2241,67354,32767,0,102362,06039,Madera County
county,6041,acfosw,R,N,100,8258,6675,2248,668,17849,06041,Marin County
county,6041,acfosw,U,N,100,6522,88651,141974,3830,240977,06041,Marin County
county,6043,acfosw,R,N,100,10188,6553,462,0,17203,06043,Mariposa County
county,6045,acfosw,R,N,100,13106,16105,9866,0,39077,06045,Mendocino County
county,6045,acfosw,R,T,100,663,253,105,0,1021,06045,Mendocino County
county,6045,acfosw,U,N,100,120,14075,31869,0,46064,06045,Mendocino County
county,6045,acfosw,U,T,100,0,143,444,0,587,06045,Mendocino County
county,6047,acfosw,R,N,100,37157,10412,708,0,48277,06047,Merced County
county,6047,acfosw,U,N,100,17512,123277,88611,0,229400,06047,Merced County
county,6049,acfosw,R,N,100,4837,1315,0,0,6152,06049,Modoc County
county,6049,acfosw,R,T,100,153,0,0,0,153,06049,Modoc County
county,6049,acfosw,U,N,100,2435,101,0,0,2536,06049,Modoc County
county,6051,acfosw,R,N,100,1827,4694,506,0,7027,06051,Mono County
county,6051,acfosw,R,T,100,0,122,0,0,122,06051,Mono County
county,6051,acfosw,U,N,100,659,6347,289,0,7295,06051,Mono County
county,6053,acfosw,R,N,100,27347,18130,7870,189,53536,06053,Monterey County
county,6053,acfosw,U,N,100,18254,164727,190075,7469,380525,06053,Monterey County
county,6055,acfosw,R,N,100,7217,9095,3255,0,19567,06055,Napa County
