type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more
county,01109,acfosw,R,N,0.2,0,0,0,17795
county,01109,acfosw,U,N,0.2,0,0,0,15319
county,01111,acfosw,R,N,0.2,0,0,0,18602
county,01111,acfosw,U,N,0.2,0,0,0,4120
county,01113,acfosw,R,N,0.2,0,0,0,22679
county,01113,acfosw,U,N,0.2,0,0,0,35282
county,01115,acfosw,R,N,0.2,0,1,1,65699
county,01115,acfosw,U,N,0.2,0,0,0,23810
county,01117,acfosw,R,N,0.2,0,4,2,55668
county,01117,acfosw,U,N,0.2,0,0,2,162022
county,01119,acfosw,R,N,0.2,0,0,0,12427
county,01121,acfosw,R,N,0.2,0,0,1,45291
county,01121,acfosw,U,N,0.2,0,0,0,34686
county,01123,acfosw,R,N,0.2,0,0,0,29956
county,01123,acfosw,U,N,0.2,0,0,0,10411
county,01125,acfosw,R,N,0.2,0,0,0,56489
county,01125,acfosw,U,N,0.2,0,0,0,152866
county,01127,acfosw,R,N,0.2,0,0,0,47265
county,01127,acfosw,U,N,0.2,0,0,0,16256
county,01129,acfosw,R,N,0.2,0,0,0,16326
county,01131,acfosw,R,N,0.2,0,0,0,10373
county,01133,acfosw,R,N,0.2,0,0,0,20169
county,01133,acfosw,U,N,0.2,0,0,0,3460
county,02013,acfosw,R,N,0.2,0,32,236,0
county,02013,acfosw,R,T,0.2,0,1096,1022,951
county,02016,acfosw,R,N,0.2,0,494,126,1
county,02016,acfosw,R,T,0.2,0,524,226,4263
county,02020,acfosw,R,N,0.2,0,0,0,12797
county,02020,acfosw,R,T,0.2,0,0,0,84
county,02020,acfosw,U,N,0.2,0,0,0,275119
county,02050,acfosw,R,N,0.2,0,79,61,6
county,02050,acfosw,R,T,0.2,0,414,12091,1138
county,02050,acfosw,U,T,0.2,0,0,4597,0
county,02060,acfosw,R,N,0.2,0,206,0,0
county,02060,acfosw,R,T,0.2,0,4,626,0
county,02068,acfosw,R,N,0.2,0,255,1240,340
county,02068,acfosw,R,T,0.2,0,23,239,0
county,02070,acfosw,R,N,0.2,0,13,5,0
county,02070,acfosw,R,T,0.2,0,28,4042,828
county,02090,acfosw,R,N,0.2,0,582,3449,25894
county,02090,acfosw,U,N,0.2,0,38,1592,65294
county,02100,acfosw,R,N,0.2,0,0,80,2024
county,02100,acfosw,R,T,0.2,0,0,0,426
county,02105,acfosw,R,N,0.2,0,0,44,827
county,02105,acfosw,R,T,0.2,0,0,4,1269
county,02110,acfosw,R,N,0.2,0,0,0,5925
