geo_id,dl_speed,has_0,has_1,has_2,has_3more,has_access,total_pop,urban_pop,rural_pop,total_access_pop_percent,urban_access_pop_percent,rural_access_pop_percent
0500000US01031,1000.0,16121,36219,0,0,36219,52340,26998,25342,0.6919946503630111,0.7430550411141567,0.6375976639570673
0500000US01033,25.0,0,3,8807,46431,55241,55241,30863,24378,1.0,1.0,1.0
0500000US01033,100.0,12903,27563,14775,0,42338,55241,30863,24378,0.7664234897992434,0.980138029355539,0.4958569201739273
0500000US01033,250.0,48071,7119,51,0,7170,55241,30863,24378,0.12979489871653302,0.1719858730518744,0.07638034293215194
0500000US01033,1000.0,49791,5450,0,0,5450,55241,30863,24378,0.09865860502163248,0.15630366458218578,0.025678890803183196
0500000US01035,25.0,0,0,6731,5336,12067,12067,1627,10440,1.0,1.0,1.0
0500000US01035,100.0,8447,3620,0,0,3620,12067,1627,10440,0.2999917129361067,0.9852489244007375,0.1931992337164751
0500000US01035,250.0,8473,3594,0,0,3594,12067,1627,10440,0.2978370763238585,0.9852489244007375,0.1907088122605364
0500000US01035,1000.0,12067,0,0,0,0,12067,1627,10440,0.0,0.0,0.0
0500000US01039,25.0,0,2,6162,30885,37049,37049,11197,25852,1.0,1.0,1.0
0500000US01039,100.0,8895,27958,196,0,28154,37049,11197,25852,0.7599125482469162,0.9647226935786372,0.6712053226056011
0500000US01039,250.0,11446,25416,187,0,25603,37049,11197,25852,0.691057788334368,0.9647226935786372,0.5725282376605292
0500000US01039,1000.0,36862,187,0,0,187,37049,11197,25852,0.005047369699587034,0.009824060016075735,0.002978492959925731
0500000US01043,25.0,0,0,18133,65635,83768,83768,22293,61475,1.0,1.0,1.0
0500000US01043,100.0,21818,47946,14004,0,61950,83768,22293,61475,0.7395425460796485,0.997488000717714,0.6460024400162667
0500000US01043,250.0,24604,58573,591,0,59164,83768,22293,61475,0.7062840225384395,0.997488000717714,0.600683204554697
0500000US01043,1000.0,83083,685,0,0,685,83768,22293,61475,0.008177346958265686,0.020275422778450635,0.0037901586010573403
0500000US01045,25.0,0,0,2563,46609,49172,49172,23731,25441,1.0,1.0,1.0
0500000US01045,100.0,2772,29346,16578,476,46400,49172,23731,25441,0.9436264540795575,0.9999157220513253,0.891120632050627
0500000US01045,250.0,11170,38002,0,0,38002,49172,23731,25441,0.7728382006019686,0.8814630651889933,0.671514484493534
0500000US01045,1000.0,11170,38002,0,0,38002,49172,23731,25441,0.7728382006019686,0.8814630651889933,0.671514484493534
0500000US01047,25.0,0,0,8790,28406,37196,37196,20157,17039,1.0,1.0,1.0
0500000US01047,100.0,9067,28129,0,0,28129,37196,20157,17039,0.7562372298096569,0.9976683038150519,0.47062621045836023
0500000US01047,250.0,9137,28059,0,0,28059,37196,20157,17039,0.7543553070222605,0.9976683038150519,0.4665179881448442
0500000US01047,1000.0,37196,0,0,0,0,37196,20157,17039,0.0,0.0,0.0
0500000US01049,250.0,7258,42968,21287,0,64255,71513,6975,64538,0.8985079635870401,1.0,0.8875391242368837
0500000US01049,1000.0,17365,54148,0,0,54148,71513,6975,64538,0.7571770167661823,0.8151971326164874,0.7509064427159193
