geo_id,broadband_tech,urban_rural,tribal_non,dl_speed,has_0,has_1,has_2,has_3more,total_pop
0500000US06063,All Broadband Connections,R,N,0.2,0,0,0,13903,13903
0500000US06063,All Broadband Connections,R,T,0.2,0,0,0,33,33
0500000US06063,All Broadband Connections,U,N,0.2,0,0,0,4871,4871
0500000US06065,All Broadband Connections,R,N,0.2,0,3,8,172154,172165
0500000US06065,All Broadband Connections,R,T,0.2,0,0,0,7767,7767
0500000US06065,All Broadband Connections,U,N,0.2,0,1,5,2255602,2255608
0500000US06065,All Broadband Connections,U,T,0.2,0,0,4,34994,34998
0500000US06067,All Broadband Connections,R,N,0.2,0,3,4,38963,38970
0500000US06067,All Broadband Connections,U,N,0.2,0,4,4,1513076,1513084
0500000US06069,All Broadband Connections,R,N,0.2,0,0,0,18999,18999
0500000US06069,All Broadband Connections,U,N,0.2,0,0,0,43803,43803
0500000US06071,All Broadband Connections,R,N,0.2,0,3,2,162596,162601
0500000US06071,All Broadband Connections,R,T,0.2,0,0,0,2944,2944
0500000US06071,All Broadband Connections,U,N,0.2,0,0,0,2014058,2014058
0500000US06071,All Broadband Connections,U,T,0.2,0,0,0,470,470
0500000US06073,All Broadband Connections,R,N,0.2,0,2,2,140779,140783
0500000US06073,All Broadband Connections,R,T,0.2,0,0,0,9643,9643
0500000US06073,All Broadband Connections,U,N,0.2,0,5,0,3187517,3187522
0500000US06073,All Broadband Connections,U,T,0.2,0,0,0,382,382
0500000US06075,All Broadband Connections,R,N,0.2,0,1,0,1,2
0500000US06075,All Broadband Connections,U,N,0.2,0,0,1,881546,881547
0500000US06077,All Broadband Connections,R,N,0.2,0,0,5,75473,75478
0500000US06077,All Broadband Connections,U,N,0.2,0,0,13,686651,686664
0500000US06079,All Broadband Connections,R,N,0.2,0,3,1,53122,53126
0500000US06079,All Broadband Connections,U,N,0.2,0,0,0,229985,229985
0500000US06081,All Broadband Connections,R,N,0.2,0,0,1,17620,17621
0500000US06081,All Broadband Connections,U,N,0.2,0,1,1,748950,748952
0500000US06083,All Broadband Connections,R,N,0.2,0,4,0,30521,30525
0500000US06083,All Broadband Connections,R,T,0.2,0,0,0,3,3
0500000US06083,All Broadband Connections,U,N,0.2,0,0,0,415676,415676
0500000US06083,All Broadband Connections,U,T,0.2,0,0,0,295,295
0500000US06085,All Broadband Connections,R,N,0.2,0,0,0,31218,31218
0500000US06085,All Broadband Connections,U,N,0.2,0,0,0,1896634,1896634
0500000US06087,All Broadband Connections,R,N,0.2,0,0,0,35814,35814
0500000US06087,All Broadband Connections,U,N,0.2,0,0,0,237399,237399
0500000US06089,All Broadband Connections,R,N,0.2,0,0,0,53858,53858
0500000US06089,All Broadband Connections,R,T,0.2,0,0,0,42,42
0500000US06089,All Broadband Connections,U,N,0.2,0,0,0,126146,126146
0500000US06089,All Broadband Connections,U,T,0.2,0,0,0,34,34
0500000US06091,All Broadband Connections,R,N,0.2,0,0,0,2996,2996
0500000US06091,All Broadband Connections,U,N,0.2,0,0,0,9,9
0500000US06093,All Broadband Connections,R,N,0.2,0,0,0,29267,29267
0500000US06093,All Broadband Connections,R,T,0.2,0,0,0,376,376
0500000US06093,All Broadband Connections,U,N,0.2,0,0,0,13659,13659
0500000US06093,All Broadband Connections,U,T,0.2,0,0,0,237,237
0500000US06095,All Broadband Connections,R,N,0.2,0,21,4,26488,26513
0500000US06095,All Broadband Connections,U,N,0.2,0,0,0,421128,421128
0500000US06097,All Broadband Connections,R,N,0.2,0,1,0,68303,68304
0500000US06097,All Broadband Connections,R,T,0.2,0,0,0,79,79
0500000US06097,All Broadband Connections,U,N,0.2,0,0,0,425953,425953
0500000US06099,All Broadband Connections,R,N,0.2,0,0,0,46795,46795
0500000US06099,All Broadband Connections,U,N,0.2,0,0,0,503865,503865
0500000US06101,All Broadband Connections,R,N,0.2,0,0,1,15382,15383
0500000US06101,All Broadband Connections,U,N,0.2,0,0,0,81588,81588
0500000US06103,All Broadband Connections,R,N,0.2,0,0,1,34287,34288
0500000US06103,All Broadband Connections,R,T,0.2,0,0,0,2,2
0500000US06103,All Broadband Connections,U,N,0.2,0,0,0,30794,30794
0500000US06105,All Broadband Connections,R,N,0.2,0,0,0,12285,12285
0500000US06105,All Broadband Connections,R,T,0.2,0,0,0,0,0
0500000US06107,All Broadband Connections,R,N,0.2,0,0,0,78359,78359
0500000US06107,All Broadband Connections,R,T,0.2,0,0,0,1193,1193
0500000US06107,All Broadband Connections,U,N,0.2,0,0,0,386641,386641
0500000US06109,All Broadband Connections,R,N,0.2,0,0,0,26813,26813
0500000US06109,All Broadband Connections,R,T,0.2,0,0,0,189,189
0500000US06109,All Broadband Connections,U,N,0.2,0,0,0,27476,27476
0500000US06111,All Broadband Connections,R,N,0.2,0,2,0,32977,32979
0500000US06111,All Broadband Connections,U,N,0.2,0,1,3,813023,813027
0500000US06113,All Broadband Connections,R,N,0.2,0,0,1,20286,20287
0500000US06113,All Broadband Connections,R,T,0.2,0,0,0,105,105
0500000US06113,All Broadband Connections,U,N,0.2,0,0,1,200107,200108
0500000US06115,All Broadband Connections,R,N,0.2,0,0,0,23600,23600
0500000US06115,All Broadband Connections,U,N,0.2,0,0,0,55068,55068
0500000US06001,ADSL,R,N,0.2,6169,7407,48,0,13624
0500000US06001,ADSL,U,N,0.2,68027,1207194,345443,37041,1657705
0500000US06003,ADSL,R,N,0.2,232,730,0,0,962
0500000US06003,ADSL,R,T,0.2,0,167,0,0,167
0500000US06005,ADSL,R,N,0.2,5552,17912,1506,0,24970
0500000US06005,ADSL,R,T,0.2,3,6,4,0,13
0500000US06005,ADSL,U,N,0.2,160,14608,0,0,14768
0500000US06007,ADSL,R,N,0.2,20595,26044,0,0,46639
0500000US06007,ADSL,R,T,0.2,11,41,0,0,52
0500000US06007,ADSL,U,N,0.2,9388,159640,65,0,169093
0500000US06007,ADSL,U,T,0.2,22,3380,0,0,3402
0500000US06009,ADSL,R,N,0.2,11290,22726,844,0,34860
0500000US06009,ADSL,U,N,0.2,2581,8464,0,0,11045
0500000US06011,ADSL,R,N,0.2,1583,5503,0,0,7086
0500000US06011,ADSL,R,T,0.2,23,76,0,0,99
0500000US06011,ADSL,U,N,0.2,7,14350,5,0,14362
0500000US06013,ADSL,R,N,0.2,11749,7798,439,0,19986
0500000US06013,ADSL,U,N,0.2,39879,984151,109504,0,1133534
0500000US06013,ADSL,U,T,0.2,0,2,0,0,2
0500000US06015,ADSL,R,N,0.2,3310,5072,0,0,8382
0500000US06015,ADSL,R,T,0.2,617,379,0,0,996
0500000US06015,ADSL,U,N,0.2,5538,12810,0,0,18348
0500000US06015,ADSL,U,T,0.2,0,86,0,0,86
0500000US06017,ADSL,R,N,0.2,37817,32310,0,0,70127
0500000US06017,ADSL,R,T,0.2,103,6,0,0,109
0500000US06017,ADSL,U,N,0.2,14144,107643,818,0,122605
0500000US06019,ADSL,R,N,0.2,58813,70698,1880,0,131391
0500000US06019,ADSL,R,T,0.2,0,441,0,0,441
0500000US06019,ADSL,U,N,0.2,38067,828728,467,0,867262
0500000US06021,ADSL,R,N,0.2,5762,5954,0,0,11716
0500000US06021,ADSL,R,T,0.2,165,0,0,0,165
0500000US06021,ADSL,U,N,0.2,403,16109,0,0,16512
0500000US06023,ADSL,R,N,0.2,23167,14425,0,0,37592
0500000US06023,ADSL,R,T,0.2,4051,0,0,0,4051
0500000US06023,ADSL,U,N,0.2,2481,91352,0,0,93833
0500000US06023,ADSL,U,T,0.2,13,69,0,0,82
0500000US06025,ADSL,R,N,0.2,21612,12678,0,0,34290
0500000US06025,ADSL,R,T,0.2,385,1612,0,0,1997
0500000US06025,ADSL,U,N,0.2,4984,139401,0,0,144385
0500000US06025,ADSL,U,T,0.2,35,508,0,0,543
0500000US06027,ADSL,R,N,0.2,2840,4769,4,0,7613
0500000US06027,ADSL,R,T,0.2,25,798,0,0,823
0500000US06027,ADSL,U,N,0.2,964,7091,37,0,8092
0500000US06027,ADSL,U,T,0.2,0,1511,0,0,1511
0500000US06029,ADSL,R,N,0.2,97557,31334,0,0,128891
0500000US06029,ADSL,U,N,0.2,66643,704663,0,0,771306
0500000US06031,ADSL,R,N,0.2,11542,6326,0,0,17868
0500000US06031,ADSL,R,T,0.2,668,0,0,0,668
0500000US06031,ADSL,U,N,0.2,13923,120470,0,0,134393
0500000US06033,ADSL,R,N,0.2,8380,13201,0,0,21581
0500000US06033,ADSL,R,T,0.2,168,207,0,0,375
0500000US06033,ADSL,U,N,0.2,4851,37398,0,0,42249
0500000US06033,ADSL,U,T,0.2,181,0,0,0,181
0500000US06035,ADSL,R,N,0.2,5949,14110,0,0,20059
0500000US06035,ADSL,R,T,0.2,0,390,0,0,390
0500000US06035,ADSL,U,N,0.2,1,9933,31,0,9965
0500000US06035,ADSL,U,T,0.2,0,159,0,0,159
0500000US06037,ADSL,R,N,0.2,36393,54465,253,0,91111
0500000US06037,ADSL,U,N,0.2,336331,8966690,595504,49471,9947996
0500000US06039,ADSL,R,N,0.2,21505,32677,641,0,54823
0500000US06039,ADSL,R,T,0.2,2,140,0,0,142
0500000US06039,ADSL,U,N,0.2,6385,95977,0,0,102362
0500000US06041,ADSL,R,N,0.2,4492,12214,1143,0,17849
0500000US06041,ADSL,U,N,0.2,9723,160942,70097,215,240977
0500000US06043,ADSL,R,N,0.2,3553,13164,486,0,17203
0500000US06045,ADSL,R,N,0.2,26568,8783,3726,0,39077
0500000US06045,ADSL,R,T,0.2,1007,14,0,0,1021
0500000US06045,ADSL,U,N,0.2,4411,17367,24286,0,46064
0500000US06045,ADSL,U,T,0.2,232,355,0,0,587
0500000US06047,ADSL,R,N,0.2,30760,17077,440,0,48277
0500000US06047,ADSL,U,N,0.2,31714,197481,205,0,229400
0500000US06049,ADSL,R,N,0.2,1451,4701,0,0,6152
0500000US06049,ADSL,R,T,0.2,104,49,0,0,153
0500000US06049,ADSL,U,N,0.2,0,2536,0,0,2536
0500000US06051,ADSL,R,N,0.2,2364,4663,0,0,7027
0500000US06051,ADSL,R,T,0.2,84,38,0,0,122
0500000US06051,ADSL,U,N,0.2,7,7288,0,0,7295
0500000US06053,ADSL,R,N,0.2,22841,30218,477,0,53536
